name,Age,Citizenship,Contract expiration,DOB,Height (m),ID,Joined,Last club,Market value history,Nationality,Other positions,Position,Since,Team,Transfer history,Value,Value last updated,assists,games,goals,id,key_passes,npg,npxG,position,red_cards,shots,source,team,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
Evan Ndicka,25,[],"Jun 30, 2028","Aug 20, 1999",1.92,371149,"Jul 1, 2023",,,Cote d'Ivoire,,Centre-Back,,AS Roma,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€30.00m,"Jun 17, 2025",0,30,1,7049,3,1,1.5021085226908326,D,0,18,understat,https://understat.com/team/Eintracht_Frankfurt/2022,Eintracht Frankfurt,2694,0.21527200192213058,1.5021085226908326,8.159191533923149,8.221431259065866,4
Florian Neuhaus,28,[],"Jun 30, 2027","Mar 16, 1997",1.85,278332,"Jul 1, 2017",,,Germany,,Central Midfield,,Bor. M'gladbach,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€3.50m,"Jun 5, 2025",0,23,1,7065,15,1,1.7601174786686897,M S,0,28,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,1408,2.6257726550102234,1.7601174786686897,4.909894483163953,8.51011537015438,2
Florian Dimmer,20,[],"Jun 30, 2026","Jan 15, 2005",1.9,912447,"Jul 1, 2024",,,Germany,,Goalkeeper,,M'gladbach II,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€50k,"Jun 23, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Leon Goretzka,30,[],"Jun 30, 2026","Feb 6, 1995",1.89,153084,"Jul 1, 2018",,,Germany,,Central Midfield,,Bayern Munich,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€22.00m,"Jun 5, 2025",2,27,3,335,21,3,4.879844713956118,M S,0,40,understat,https://understat.com/team/Bayern_Munich/2022,Bayern Munich,1754,2.9064023923128843,4.879844713956118,14.380298979580402,18.998094856739044,5
Ludovic Ajorque,31,"['France', 'Réunion']","Jun 30, 2027","Feb 25, 1994",1.96,283994,"Jul 1, 2025",,,France,,Centre-Forward,,Stade Brestois,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€4.00m,"Jun 3, 2025",1,17,6,6905,13,6,4.543117884546518,F M S,0,32,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,1243,1.8128424733877182,4.543117884546518,2.897698262706399,7.654449883848429,5
Felix Götze,27,['Germany'],-,"Feb 11, 1998",1.85,330635,"Jul 1, 2024",,,Germany,"                    0
0  Defensive Midfield
1    Central Midfield",Centre-Back,,SC Paderborn,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.00m,"Jun 19, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Justin Che,21,[],"Jun 30, 2026","Nov 18, 2003",1.85,796429,"Jul 14, 2023",,,United States,,Right-Back,,Bröndby IF,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€700k,"Apr 24, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Johannes Schenk,22,[],"Jun 30, 2027","Jan 13, 2003",1.91,604326,"Jul 1, 2024",,,Germany,,Goalkeeper,,Pr. Münster,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.80m,"Jun 19, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Ramy Bensebaini,30,[],"Jun 30, 2027","Apr 16, 1995",1.87,284732,"Jul 1, 2023",,,Algeria,,Left-Back,,Bor. Dortmund,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€7.00m,"Jun 5, 2025",1,28,6,3349,13,4,3.949821198359132,D,1,40,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,2495,1.6643879432231188,5.465372884646058,7.985617047175765,10.593360023573041,5
Daniel Caligiuri,37,[],,"Jan 15, 1988",1.82,38410,,FC 08 Villingen,,Italy,,Right Winger,"Feb 2, 2025",Retired,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",,,0,13,1,157,4,1,0.24437029659748077,D M S,0,6,understat,https://understat.com/team/Augsburg/2022,Augsburg,261,0.28146539255976677,0.24437029659748077,0.06699209846556187,0.3280097972601652,1
