Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history,source
Evan Ndicka,371149,€30.00m,"Jun 17, 2025","Aug 20, 1999",25,1.92,Cote d'Ivoire,[],Centre-Back,,AS Roma,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Florian Neuhaus,278332,€3.50m,"Jun 5, 2025","Mar 16, 1997",28,1.85,Germany,[],Central Midfield,,Bor. M'gladbach,,,"Jul 1, 2017","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Florian Dimmer,912447,€50k,"Jun 23, 2025","Jan 15, 2005",20,1.9,Germany,[],Goalkeeper,,M'gladbach II,,,"Jul 1, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Leon Goretzka,153084,€22.00m,"Jun 5, 2025","Feb 6, 1995",30,1.89,Germany,[],Central Midfield,,Bayern Munich,,,"Jul 1, 2018","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ludovic Ajorque,283994,€4.00m,"Jun 3, 2025","Feb 25, 1994",31,1.96,France,[],Centre-Forward,,Stade Brestois,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Felix Götze,330635,€2.00m,"Jun 19, 2025","Feb 11, 1998",27,1.85,Germany,[],Centre-Back,,SC Paderborn,,,"Jul 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Justin Che,796429,€700k,"Apr 24, 2025","Nov 18, 2003",21,1.85,United States,[],Right-Back,,Bröndby IF,,,"Jul 14, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Johannes Schenk,604326,€1.80m,"Jun 19, 2025","Jan 13, 2003",22,1.91,Germany,[],Goalkeeper,,Pr. Münster,,,"Jul 1, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ramy Bensebaini,284732,€7.00m,"Jun 5, 2025","Apr 16, 1995",30,1.87,Algeria,['Algeria'],Left-Back,"             0
0  Centre-Back",Bor. Dortmund,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Daniel Caligiuri,38410,,,"Jan 15, 1988",37,1.82,Italy,[],Right Winger,,Retired,FC 08 Villingen,"Feb 2, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Lukas Nmecha,314288,€3.00m,"Jun 5, 2025","Dec 14, 1998",26,1.85,Germany,[],Centre-Forward,,Leeds,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Tobias Sippel,31653,€300k,"Jun 5, 2025","Mar 22, 1988",37,1.83,Germany,['Germany'],Goalkeeper,,Bor. M'gladbach,,,"Jul 1, 2015","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
